datetime,cpu,mem,,
Mon Oct 16 13:43:49 GMT 2023,3.3,157898,,86229.55804
Mon Oct 16 13:43:50 GMT 2023,3.3,171599,,
Mon Oct 16 13:43:50 GMT 2023,3.3,176161,,
Mon Oct 16 13:43:51 GMT 2023,3.3,201616,,
Mon Oct 16 13:43:52 GMT 2023,3.3,191997,,
Mon Oct 16 13:43:53 GMT 2023,3.3,188342,,
Mon Oct 16 13:43:53 GMT 2023,3.3,184937,,
Mon Oct 16 13:43:54 GMT 2023,3.3,192685,,
Mon Oct 16 13:43:54 GMT 2023,3.3,190873,,
Mon Oct 16 13:43:55 GMT 2023,3.3,158608,,
Mon Oct 16 13:43:56 GMT 2023,3.3,156128,,
Mon Oct 16 13:43:57 GMT 2023,3.3,154901,,
Mon Oct 16 13:43:58 GMT 2023,3.3,153225,,
Mon Oct 16 13:43:59 GMT 2023,3.3,135179,,
Mon Oct 16 13:43:59 GMT 2023,3.3,134777,,
Mon Oct 16 13:44:00 GMT 2023,3.3,128777,,
Mon Oct 16 13:44:01 GMT 2023,3.3,109933,,
Mon Oct 16 13:44:02 GMT 2023,3.3,84113,,
Mon Oct 16 13:44:03 GMT 2023,3.3,68071,,
Mon Oct 16 13:44:03 GMT 2023,3.3,67992,,
Mon Oct 16 13:44:04 GMT 2023,3.3,67742,,
Mon Oct 16 13:44:05 GMT 2023,3.3,67658,,
Mon Oct 16 13:44:05 GMT 2023,3.3,67735,,
Mon Oct 16 13:44:06 GMT 2023,3.3,67797,,
Mon Oct 16 13:44:07 GMT 2023,3.3,68406,,
Mon Oct 16 13:44:07 GMT 2023,3.3,68147,,
Mon Oct 16 13:44:08 GMT 2023,3.3,68039,,
Mon Oct 16 13:44:09 GMT 2023,3.3,68085,,
Mon Oct 16 13:44:09 GMT 2023,3.3,67646,,
Mon Oct 16 13:44:10 GMT 2023,3.3,67493,,
Mon Oct 16 13:44:11 GMT 2023,3.3,67536,,
Mon Oct 16 13:44:11 GMT 2023,3.3,67291,,
Mon Oct 16 13:44:12 GMT 2023,3.3,68253,,
Mon Oct 16 13:44:13 GMT 2023,3.3,67985,,
Mon Oct 16 13:44:13 GMT 2023,3.3,67987,,
Mon Oct 16 13:44:14 GMT 2023,3.3,68007,,
Mon Oct 16 13:44:15 GMT 2023,3.3,67871,,
Mon Oct 16 13:44:16 GMT 2023,3.3,67845,,
Mon Oct 16 13:44:16 GMT 2023,3.3,67900,,
Mon Oct 16 13:44:17 GMT 2023,3.3,68023,,
Mon Oct 16 13:44:18 GMT 2023,3.3,68095,,
Mon Oct 16 13:44:18 GMT 2023,3.3,68911,,
Mon Oct 16 13:44:19 GMT 2023,3.3,70653,,
Mon Oct 16 13:44:20 GMT 2023,3.3,70548,,
Mon Oct 16 13:44:21 GMT 2023,3.3,73077,,
