datetime,cpu,mem,,avg
Mon Oct 16 13:31:26 GMT 2023,59,148227,,
Mon Oct 16 13:31:27 GMT 2023,59,148276,,
Mon Oct 16 13:31:28 GMT 2023,59,148235,,
Mon Oct 16 13:31:28 GMT 2023,59,148492,,
Mon Oct 16 13:31:29 GMT 2023,59,148333,,
Mon Oct 16 13:31:29 GMT 2023,59,148225,,
Mon Oct 16 13:31:30 GMT 2023,59,148320,,
Mon Oct 16 13:31:31 GMT 2023,59,148364,,
Mon Oct 16 13:31:31 GMT 2023,59,148406,,
Mon Oct 16 13:31:32 GMT 2023,59,148438,,
Mon Oct 16 13:31:33 GMT 2023,59,148503,,
Mon Oct 16 13:31:33 GMT 2023,59,148742,,
Mon Oct 16 13:31:34 GMT 2023,59,148613,,
Mon Oct 16 13:31:35 GMT 2023,59,148535,,
Mon Oct 16 13:31:35 GMT 2023,59,148585,,
Mon Oct 16 13:31:36 GMT 2023,59,147946,,
Mon Oct 16 13:31:37 GMT 2023,59,147988,,
Mon Oct 16 13:31:37 GMT 2023,59,148067,,
Mon Oct 16 13:31:38 GMT 2023,59,148096,,
Mon Oct 16 13:31:39 GMT 2023,59,148442,,
Mon Oct 16 13:31:39 GMT 2023,59,148301,,
Mon Oct 16 13:31:40 GMT 2023,59,148321,,
Mon Oct 16 13:31:41 GMT 2023,59,148373,,
Mon Oct 16 13:31:41 GMT 2023,59,148430,,
Mon Oct 16 13:31:42 GMT 2023,59,148469,,
Mon Oct 16 13:31:43 GMT 2023,59,148506,,
Mon Oct 16 13:31:43 GMT 2023,59,148554,,
Mon Oct 16 13:31:44 GMT 2023,59,148590,,
Mon Oct 16 13:31:45 GMT 2023,59,148809,,
Mon Oct 16 13:31:45 GMT 2023,59,148537,,
Mon Oct 16 13:31:46 GMT 2023,59,148083,,
Mon Oct 16 13:31:47 GMT 2023,59,147985,,
Mon Oct 16 13:31:47 GMT 2023,59,147593,,
Mon Oct 16 13:31:48 GMT 2023,59,147641,,
Mon Oct 16 13:31:49 GMT 2023,59,147693,,
Mon Oct 16 13:31:50 GMT 2023,59,147757,,
Mon Oct 16 13:31:50 GMT 2023,59,147811,,
Mon Oct 16 13:31:51 GMT 2023,59,148048,,
Mon Oct 16 13:31:51 GMT 2023,59,147922,,
Mon Oct 16 13:31:52 GMT 2023,59,147945,,
Mon Oct 16 13:31:53 GMT 2023,59,147981,,
Mon Oct 16 13:31:53 GMT 2023,59,148034,,
Mon Oct 16 13:31:54 GMT 2023,59,148086,,
Mon Oct 16 13:31:55 GMT 2023,59,148128,,
Mon Oct 16 13:31:55 GMT 2023,59,148182,,
Mon Oct 16 13:31:56 GMT 2023,59,148228,,
Mon Oct 16 13:31:57 GMT 2023,59,148456,,
Mon Oct 16 13:31:57 GMT 2023,59,148374,,
Mon Oct 16 13:31:58 GMT 2023,59,148393,,
Mon Oct 16 13:31:59 GMT 2023,59,148449,,
Mon Oct 16 13:31:59 GMT 2023,59,148503,,
Mon Oct 16 13:32:00 GMT 2023,59,148600,,
Mon Oct 16 13:32:01 GMT 2023,59,148655,,
Mon Oct 16 13:32:01 GMT 2023,59,148708,,
Mon Oct 16 13:32:02 GMT 2023,59,148766,,
Mon Oct 16 13:32:03 GMT 2023,59,149044,,
Mon Oct 16 13:32:03 GMT 2023,59,148901,,
Mon Oct 16 13:32:04 GMT 2023,59,148926,,
Mon Oct 16 13:32:05 GMT 2023,59,148979,,
Mon Oct 16 13:32:05 GMT 2023,59,149011,,
Mon Oct 16 13:32:06 GMT 2023,59,149075,,
Mon Oct 16 13:32:07 GMT 2023,59,149113,,
Mon Oct 16 13:32:07 GMT 2023,59,149169,,
Mon Oct 16 13:32:08 GMT 2023,59,149196,,
Mon Oct 16 13:32:09 GMT 2023,59,149260,,
Mon Oct 16 13:32:09 GMT 2023,59,149140,,
Mon Oct 16 13:32:10 GMT 2023,59,149116,,
Mon Oct 16 13:32:11 GMT 2023,59,149200,,
Mon Oct 16 13:32:11 GMT 2023,59,149200,,
Mon Oct 16 13:32:12 GMT 2023,59,149272,,
Mon Oct 16 13:32:13 GMT 2023,59,149320,,
Mon Oct 16 13:32:13 GMT 2023,59,149365,,
Mon Oct 16 13:32:14 GMT 2023,59,149427,,
Mon Oct 16 13:32:15 GMT 2023,59,149485,,
Mon Oct 16 13:32:15 GMT 2023,59,149699,,
Mon Oct 16 13:32:16 GMT 2023,59,149602,,
Mon Oct 16 13:32:17 GMT 2023,59,149628,,
Mon Oct 16 13:32:17 GMT 2023,59,149681,,
Mon Oct 16 13:32:18 GMT 2023,59,149739,,
Mon Oct 16 13:32:19 GMT 2023,59,149794,,
Mon Oct 16 13:32:19 GMT 2023,59,149852,,
Mon Oct 16 13:32:20 GMT 2023,59,149902,,
Mon Oct 16 13:32:21 GMT 2023,59,149959,,
Mon Oct 16 13:32:21 GMT 2023,59,150140,,
Mon Oct 16 13:32:22 GMT 2023,59,150066,,
Mon Oct 16 13:32:23 GMT 2023,59,150095,,
Mon Oct 16 13:32:23 GMT 2023,59,150122,,
Mon Oct 16 13:32:24 GMT 2023,59,150176,,
Mon Oct 16 13:32:25 GMT 2023,59,150241,,
Mon Oct 16 13:32:25 GMT 2023,59,150276,,
Mon Oct 16 13:32:26 GMT 2023,59,150327,,
Mon Oct 16 13:32:27 GMT 2023,59,150393,,
Mon Oct 16 13:32:27 GMT 2023,59,150628,,
Mon Oct 16 13:32:28 GMT 2023,59,150622,,
Mon Oct 16 13:32:29 GMT 2023,59,150657,,
Mon Oct 16 13:32:29 GMT 2023,59,150720,,
Mon Oct 16 13:32:30 GMT 2023,59,150767,,
Mon Oct 16 13:32:31 GMT 2023,59,150811,,
Mon Oct 16 13:32:31 GMT 2023,59,150879,,
Mon Oct 16 13:32:32 GMT 2023,59,150921,,
Mon Oct 16 13:32:33 GMT 2023,59,150962,,
Mon Oct 16 13:32:33 GMT 2023,59,151189,,
Mon Oct 16 13:32:34 GMT 2023,59,151099,,
Mon Oct 16 13:32:35 GMT 2023,59,151131,,
Mon Oct 16 13:32:35 GMT 2023,59,151183,,
Mon Oct 16 13:32:36 GMT 2023,59,151224,,
Mon Oct 16 13:32:37 GMT 2023,59,151279,,
Mon Oct 16 13:32:37 GMT 2023,59,151339,,
Mon Oct 16 13:32:38 GMT 2023,59,151391,,
Mon Oct 16 13:32:39 GMT 2023,59,151433,,
Mon Oct 16 13:32:39 GMT 2023,59,151666,,
Mon Oct 16 13:32:40 GMT 2023,59,151551,,
Mon Oct 16 13:32:41 GMT 2023,59,151594,,
Mon Oct 16 13:32:41 GMT 2023,59,151649,,
Mon Oct 16 13:32:42 GMT 2023,59,151685,,
Mon Oct 16 13:32:43 GMT 2023,59,151756,,
Mon Oct 16 13:32:43 GMT 2023,59,151789,,
