Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697402086455,-128,4250,-142,0,100
1697402086564,-128,4250,-142,0,100
1697402086678,-128,4250,-142,0,100
1697402086787,-128,4250,-142,0,100
1697402086896,-128,4250,-142,0,100
1697402087003,-128,4250,-142,0,100
1697402087110,-128,4250,-142,0,100
1697402087219,-128,4250,-142,0,100
1697402087328,-128,4250,-142,0,100
1697402087438,-128,4250,-142,0,100
1697402087548,-128,4250,-142,0,100
1697402087657,-128,4250,-142,0,100
1697402087765,-128,4250,-142,0,100
1697402087875,-128,4250,-142,0,100
1697402087985,-128,4250,-142,0,100
1697402088095,-128,4250,-142,0,100
1697402088205,-128,4250,-142,0,100
1697402088316,-128,4250,-142,0,100
1697402088425,-128,4250,-142,0,100
1697402088540,-128,4250,-142,0,100
1697402088657,-128,4250,-142,0,100
1697402088772,-128,4250,-142,0,100
1697402088884,-128,4250,-142,0,100
1697402088999,-128,4250,-142,0,100
1697402089114,-128,4250,-142,0,100
1697402089225,-128,4250,-142,0,100
1697402089333,-128,4250,-142,0,100
1697402089440,-128,4250,-142,0,100
1697402089548,-128,4250,-142,0,100
1697402089655,-128,4250,-142,0,100
1697402089763,-128,4250,-142,0,100
1697402089873,-128,4250,-142,0,100
1697402089982,-128,4250,-142,0,100
1697402090094,-128,4250,-142,0,100
1697402090202,-128,4250,-142,0,100
1697402090314,-128,4250,-142,0,100
1697402090422,-128,4250,-142,0,100
1697402090535,-128,4250,-142,0,100
1697402090644,-128,4250,-142,0,100
1697402090752,-128,4250,-142,0,100
1697402090859,-128,4250,-142,0,100
1697402090967,-128,4250,-142,0,100
1697402091074,-128,4250,-142,0,100
1697402091186,-128,4250,-142,0,100
1697402091296,-128,4250,-142,0,100
1697402091404,-128,4250,-142,0,100
1697402091512,-128,4250,-142,0,100
1697402091629,-128,4250,-142,0,100
1697402091739,-128,4250,-142,0,100
1697402091848,-128,4250,-142,0,100
1697402091958,-128,4250,-142,0,100
1697402092067,-128,4250,-142,0,100
1697402092176,-128,4250,-142,0,100
1697402092286,-128,4250,-142,0,100
1697402092395,-128,4250,-142,0,100
1697402092505,-128,4250,-142,0,100
1697402092618,-128,4250,-142,0,100
1697402092728,-128,4250,-142,0,100
1697402092836,-128,4250,-142,0,100
1697402092945,-128,4250,-142,0,100
1697402093054,-128,4250,-142,0,100
1697402093167,-128,4250,-142,0,100
1697402093279,-128,4250,-142,0,100
1697402093389,-128,4250,-142,0,100
1697402093497,-128,4250,-142,0,100
1697402093607,-128,4250,-142,0,100
1697402093795,-128,4250,-142,0,100
1697402093907,-128,4250,-142,0,100
1697402094019,-128,4250,-142,0,100
1697402094129,-128,4250,-142,0,100
1697402094244,-128,4250,-142,0,100
1697402094359,-128,4250,-142,0,100
1697402094473,-128,4250,-142,0,100
1697402094592,-128,4250,-142,0,100
1697402094710,-128,4250,-142,0,100
1697402094823,-128,4250,-142,0,100
1697402094940,-128,4250,-142,0,100
1697402095057,-128,4250,-142,0,100
1697402095171,-128,4250,-142,0,100
1697402095279,-128,4250,-142,0,100
1697402095392,-128,4250,-142,0,100
1697402095500,-128,4250,-142,0,100
1697402095614,-128,4250,-142,0,100
1697402095728,-128,4250,-142,0,100
1697402095849,-128,4250,-142,0,100
1697402095964,-128,4250,-142,0,100
1697402096077,-128,4250,-142,0,100
1697402096192,-128,4250,-142,0,100
1697402096298,-128,4250,-142,0,100
1697402096409,-128,4250,-142,0,100
1697402096524,-128,4250,-142,0,100
1697402096639,-128,4250,-142,0,100
1697402096748,-128,4250,-142,0,100
1697402096859,-128,4250,-142,0,100
1697402096972,-128,4250,-142,0,100
1697402097081,-128,4250,-142,0,100
1697402097198,-128,4250,-142,0,100
1697402097317,-128,4250,-142,0,100
1697402097430,-128,4250,-142,0,100
1697402097548,-128,4250,-142,0,100
1697402097664,-128,4250,-142,0,100
1697402097774,-128,4250,-142,0,100
1697402097886,-128,4250,-142,0,100
1697402098001,-128,4250,-142,0,100
1697402098116,-128,4250,-142,0,100
