Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697997661924,223,4160,232,0,100
1697997662032,223,4160,232,0,100
1697997662141,223,4160,232,0,100
1697997662250,223,4160,232,0,100
1697997662358,-97,4160,70,0,100
1697997662468,-97,4160,70,0,100
1697997662581,-97,4160,70,0,100
1697997662694,-97,4160,70,0,100
1697997662805,-97,4160,70,0,100
1697997662913,-97,4160,70,0,100
1697997663022,-97,4160,70,0,100
1697997663131,-97,4160,70,0,100
1697997663239,-97,4160,70,0,100
1697997663348,-97,4160,70,0,100
1697997663460,-97,4160,70,0,100
1697997663573,-97,4160,70,0,100
1697997663682,-97,4160,70,0,100
1697997663798,-97,4160,70,0,100
1697997663911,-97,4160,70,0,100
1697997664021,-97,4160,70,0,100
1697997664131,-97,4160,70,0,100
1697997664244,-97,4160,70,0,100
1697997664362,-97,4160,70,0,100
1697997664479,-97,4160,70,0,100
1697997664597,-97,4160,70,0,100
1697997664712,-97,4160,70,0,100
1697997664822,-97,4160,70,0,100
1697997664935,-97,4160,70,0,100
1697997665043,-97,4160,70,0,100
1697997665151,-97,4160,70,0,100
1697997665260,-97,4160,70,0,100
1697997665368,-97,4160,70,0,100
1697997665483,-97,4160,70,0,100
1697997665591,-97,4160,70,0,100
1697997665701,-97,4160,70,0,100
1697997665809,-97,4160,70,0,100
1697997665918,-97,4160,70,0,100
1697997666027,-97,4160,70,0,100
1697997666135,-97,4160,70,0,100
1697997666249,-97,4160,70,0,100
1697997666360,-97,4160,70,0,100
1697997666467,-97,4160,70,0,100
1697997666578,-97,4160,70,0,100
1697997666686,-97,4160,70,0,100
1697997666798,-97,4160,70,0,100
1697997666906,-97,4160,70,0,100
1697997667016,-97,4160,70,0,100
1697997667123,-97,4160,70,0,100
1697997667233,-97,4160,70,0,100
1697997667340,-97,4160,70,0,100
1697997667448,-97,4160,70,0,100
1697997667557,-97,4160,70,0,100
1697997667673,-97,4160,70,0,100
