Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697996136916,73,4160,194,0,100
1697996137025,73,4160,194,0,100
1697996137133,73,4160,194,0,100
1697996137242,73,4160,194,0,100
1697996137350,73,4160,194,0,100
1697996137460,73,4160,194,0,100
1697996137570,73,4160,194,0,100
1697996137681,73,4160,194,0,100
1697996137795,73,4160,194,0,100
1697996137904,73,4160,194,0,100
1697996138012,73,4160,194,0,100
1697996138125,73,4160,194,0,100
1697996138233,73,4160,194,0,100
1697996138342,73,4160,194,0,100
1697996138463,73,4160,194,0,100
1697996138581,73,4160,194,0,100
1697996138704,73,4160,194,0,100
1697996138816,73,4160,194,0,100
1697996138935,73,4160,194,0,100
1697996139053,73,4160,194,0,100
1697996139165,73,4160,194,0,100
1697996139275,73,4160,194,0,100
1697996139387,73,4160,194,0,100
1697996139501,73,4160,194,0,100
1697996139611,73,4160,194,0,100
1697996139730,73,4160,194,0,100
1697996139861,73,4160,194,0,100
1697996139971,73,4160,194,0,100
1697996140080,73,4160,194,0,100
1697996140188,-172,4160,4,0,100
1697996140302,-172,4160,4,0,100
1697996140412,-172,4160,4,0,100
1697996140519,-172,4160,4,0,100
1697996140627,-172,4160,4,0,100
1697996140734,-172,4160,4,0,100
1697996140845,-172,4160,4,0,100
1697996140956,-172,4160,4,0,100
1697996141068,-172,4160,4,0,100
1697996141175,-172,4160,4,0,100
1697996141284,-172,4160,4,0,100
1697996141393,-172,4160,4,0,100
1697996141502,-172,4160,4,0,100
1697996141614,-172,4160,4,0,100
1697996141722,-172,4160,4,0,100
1697996141836,-172,4160,4,0,100
1697996141943,-172,4160,4,0,100
1697996142054,-172,4160,4,0,100
1697996142162,-172,4160,4,0,100
1697996142272,-172,4160,4,0,100
1697996142380,-172,4160,4,0,100
1697996142489,-172,4160,4,0,100
1697996142598,-172,4160,4,0,100
1697996142707,-172,4160,4,0,100
1697996142819,-172,4160,4,0,100
1697996142926,-172,4160,4,0,100
1697996143034,-172,4160,4,0,100
1697996143142,-172,4160,4,0,100
1697996143254,-172,4160,4,0,100
1697996143365,-172,4160,4,0,100
1697996143474,-172,4160,4,0,100
1697996143589,-172,4160,4,0,100
1697996143698,-172,4160,4,0,100
1697996143806,-172,4160,4,0,100
1697996143916,-172,4160,4,0,100
1697996144028,-172,4160,4,0,100
1697996144138,-172,4160,4,0,100
1697996144246,-172,4160,4,0,100
1697996144355,-172,4160,4,0,100
1697996144465,-172,4160,4,0,100
1697996144576,-172,4160,4,0,100
1697996144683,-172,4160,4,0,100
1697996144796,-172,4160,4,0,100
1697996144905,-172,4160,4,0,100
1697996145013,-172,4160,4,0,100
1697996145121,-172,4160,4,0,100
1697996145241,-172,4160,4,0,100
1697996145355,-172,4160,4,0,100
1697996145465,-172,4160,4,0,100
1697996145581,-172,4160,4,0,100
1697996145691,-172,4160,4,0,100
1697996145799,-172,4160,4,0,100
1697996145910,-172,4160,4,0,100
1697996146020,-172,4160,4,0,100
1697996146127,-172,4160,4,0,100
1697996146237,-172,4160,4,0,100
1697996146345,-172,4160,4,0,100
1697996146457,-172,4160,4,0,100
1697996146564,-172,4160,4,0,100
1697996146673,-172,4160,4,0,100
1697996146779,-172,4160,4,0,100
1697996146888,-172,4160,4,0,100
1697996146995,-172,4160,4,0,100
1697996147104,-172,4160,4,0,100
1697996147211,-172,4160,4,0,100
1697996147320,-172,4160,4,0,100
1697996147426,-172,4160,4,0,100
1697996147534,-172,4160,4,0,100
1697996147642,-172,4160,4,0,100
1697996147752,-172,4160,4,0,100
1697996147866,-172,4160,4,0,100
1697996147979,-172,4160,4,0,100
1697996148086,-172,4160,4,0,100
1697996148195,-172,4160,4,0,100
1697996148303,-172,4160,4,0,100
1697996148411,-172,4160,4,0,100
1697996148523,-172,4160,4,0,100
1697996148630,-172,4160,4,0,100
1697996148739,-172,4160,4,0,100
1697996148845,-172,4160,4,0,100
1697996148955,-172,4160,4,0,100
1697996149062,-172,4160,4,0,100
1697996149171,-172,4160,4,0,100
