device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
j7duo2,org-mozilla-fenix,0,100.0,0.0,54.03748180494905,4310.0,34.500727802037844,0.19600252328499998,0.19636709027815136,0.0006534700291120814
j7duo2,org-mozilla-fenix,1,100.0,0.0,119.38242799854174,4310.0,114.68902661319723,0.20600585873,0.20613665304612463,0.0006863191833758657
j7duo2,org-mozilla-fenix,2,100.0,0.0,79.70254545454546,4310.0,84.60581818181818,0.21112804159499998,0.21081275621639997,0.0007014955999999999
j7duo2,org-mozilla-fenix,3,100.0,0.0,99.65370639534883,4310.0,73.13444767441861,0.187660919115,0.1877315623046875,0.0006244958212209302
j7duo2,org-mozilla-fenix,4,100.0,0.0,59.38640494365685,4310.0,62.70410759723737,0.22059889593499998,0.22080922454679752,0.0007348354162122864
j7duo2,org-mozilla-fenix,5,100.0,0.0,87.68135469774217,4310.0,102.82811361981064,0.21014711361,0.2100316824271959,0.0006987128404952657
j7duo2,org-mozilla-fenix,6,100.0,0.0,56.33904484141451,4310.0,58.00656215822092,0.21358936622500002,0.21380168884444767,0.0007114344002916514
j7duo2,org-mozilla-fenix,7,100.0,0.0,101.33199854386604,4310.0,95.86676374226428,0.20101884392999997,0.2008104687679359,0.0006682900546050236
j7duo2,org-mozilla-fenix,8,100.0,0.0,82.0167577413479,4310.0,83.12459016393443,0.22657620434999998,0.22521625611668855,0.0007493794644808744
j7duo2,org-mozilla-fenix,9,100.0,0.0,100.48200654307524,4310.0,91.10759723736822,0.18074177010499998,0.1807291917350418,0.0006012081824790984
