Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697405829113,-141,4314,-146,0,100
1697405829222,-141,4314,-146,0,100
1697405829331,-141,4314,-146,0,100
1697405829441,-141,4314,-146,0,100
1697405829551,-141,4314,-146,0,100
1697405829659,-141,4314,-146,0,100
1697405829769,-141,4314,-146,0,100
1697405829877,-141,4314,-146,0,100
1697405829985,-141,4314,-146,0,100
1697405830093,-141,4314,-146,0,100
1697405830201,-141,4314,-146,0,100
1697405830312,-141,4314,-146,0,100
1697405830421,-141,4314,-146,0,100
1697405830533,-141,4314,-146,0,100
1697405830642,-141,4314,-146,0,100
1697405830753,-141,4314,-146,0,100
1697405830864,-141,4314,-146,0,100
1697405830973,-141,4314,-146,0,100
1697405831082,-141,4314,-146,0,100
1697405831191,-141,4314,-146,0,100
1697405831305,-141,4314,-146,0,100
1697405831423,-141,4314,-146,0,100
1697405831541,-141,4314,-146,0,100
1697405831653,-141,4314,-146,0,100
1697405831765,-141,4314,-146,0,100
1697405831875,-141,4314,-146,0,100
1697405831990,-141,4314,-146,0,100
1697405832102,-141,4314,-146,0,100
1697405832209,-141,4314,-146,0,100
1697405832317,-141,4314,-146,0,100
1697405832432,-141,4314,-146,0,100
1697405832549,-141,4314,-146,0,100
1697405832666,-141,4314,-146,0,100
1697405832778,-141,4314,-146,0,100
1697405832895,-141,4314,-146,0,100
1697405833004,-141,4314,-146,0,100
1697405833113,-141,4314,-146,0,100
1697405833222,-141,4314,-146,0,100
1697405833344,-141,4314,-146,0,100
1697405833451,-141,4314,-146,0,100
1697405833560,-141,4314,-146,0,100
1697405833669,-141,4314,-146,0,100
1697405833777,-141,4314,-146,0,100
1697405833890,-141,4314,-146,0,100
1697405833997,-141,4314,-146,0,100
1697405834106,-141,4314,-146,0,100
1697405834213,-141,4314,-146,0,100
1697405834338,-141,4314,-146,0,100
1697405834450,-141,4314,-146,0,100
1697405834563,-141,4314,-146,0,100
1697405834671,-141,4314,-146,0,100
1697405834782,-141,4314,-146,0,100
1697405834901,-141,4314,-146,0,100
1697405835010,-141,4314,-146,0,100
1697405835120,-141,4314,-146,0,100
1697405835234,-141,4314,-146,0,100
1697405835347,-141,4314,-146,0,100
1697405835457,-141,4314,-146,0,100
1697405835580,-141,4314,-146,0,100
1697405835692,-141,4314,-146,0,100
1697405835800,-141,4314,-146,0,100
1697405835911,-141,4314,-146,0,100
1697405836021,-141,4314,-146,0,100
1697405836132,-141,4314,-146,0,100
1697405836255,-141,4314,-146,0,100
1697405836419,-141,4314,-146,0,100
1697405836540,-141,4314,-146,0,100
1697405836648,-141,4314,-146,0,100
1697405836760,-141,4314,-146,0,100
1697405836871,-141,4314,-146,0,100
1697405836984,-141,4314,-146,0,100
1697405837102,-141,4314,-146,0,100
1697405837217,-141,4314,-146,0,100
1697405837333,-141,4314,-146,0,100
1697405837456,-141,4314,-146,0,100
1697405837567,-141,4314,-146,0,100
1697405837683,-141,4314,-146,0,100
1697405837799,-141,4314,-146,0,100
1697405837912,-141,4314,-146,0,100
1697405838025,-141,4314,-146,0,100
1697405838135,-141,4314,-146,0,100
1697405838253,-141,4314,-146,0,100
1697405838367,-141,4314,-146,0,100
1697405838480,-141,4314,-146,0,100
1697405838591,-141,4314,-146,0,100
1697405838701,-141,4314,-146,0,100
1697405838816,-141,4314,-146,0,100
1697405838928,-141,4314,-146,0,100
1697405839043,-141,4314,-146,0,100
1697405839153,-141,4314,-146,0,100
1697405839263,-141,4314,-146,0,100
1697405839373,-141,4314,-146,0,100
1697405839484,-141,4314,-146,0,100
1697405839598,-141,4314,-146,0,100
1697405839718,-141,4314,-146,0,100
1697405839828,-141,4314,-146,0,100
1697405839950,-141,4314,-146,0,100
1697405840062,-141,4314,-146,0,100
1697405840177,-141,4314,-146,0,100
1697405840294,-141,4314,-146,0,100
1697405840414,-141,4314,-146,0,100
1697405840522,-141,4314,-146,0,100
1697405840631,-141,4314,-146,0,100
1697405840742,-141,4314,-146,0,100
1697405840857,-141,4314,-146,0,100
1697405840972,-141,4314,-146,0,100
1697405841084,-141,4314,-146,0,100
1697405841199,-141,4314,-146,0,100
1697405841310,-141,4314,-146,0,100
1697405841422,-141,4314,-146,0,100
1697405841535,-141,4314,-146,0,100
1697405841651,-141,4314,-146,0,100
1697405841768,-141,4314,-146,0,100
1697405841885,-141,4314,-146,0,100
1697405841997,-141,4314,-146,0,100
1697405842112,-141,4314,-146,0,100
1697405842226,-274,4314,-395,0,100
1697405842340,-274,4314,-395,0,100
1697405842461,-274,4314,-395,0,100
1697405842574,-274,4314,-395,0,100
1697405842688,-274,4314,-395,0,100
1697405842800,-274,4314,-395,0,100
1697405842912,-274,4314,-395,0,100
1697405843025,-274,4314,-395,0,100
1697405843139,-274,4314,-395,0,100
1697405843253,-274,4314,-395,0,100
1697405843366,-274,4314,-395,0,100
1697405843482,-274,4314,-395,0,100
1697405843601,-274,4314,-395,0,100
1697405843719,-274,4314,-395,0,100
