Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697999446363,178,4308,174,0,100
1697999446479,178,4308,174,0,100
1697999446589,178,4308,174,0,100
1697999446698,178,4308,174,0,100
1697999446807,178,4308,174,0,100
1697999446926,178,4308,174,0,100
1697999447036,178,4308,174,0,100
1697999447152,178,4308,174,0,100
1697999447263,178,4308,174,0,100
1697999447373,178,4308,174,0,100
1697999447482,178,4308,174,0,100
1697999447591,178,4308,174,0,100
1697999447703,178,4308,174,0,100
1697999447812,178,4308,174,0,100
1697999447921,178,4308,174,0,100
1697999448030,178,4308,174,0,100
1697999448139,178,4308,174,0,100
1697999448251,178,4308,174,0,100
1697999448369,178,4308,174,0,100
1697999448482,178,4308,174,0,100
1697999448590,178,4308,174,0,100
1697999448699,-156,4308,-93,0,100
1697999448813,-156,4308,-93,0,100
1697999448922,-156,4308,-93,0,100
1697999449034,-156,4308,-93,0,100
1697999449146,-156,4308,-93,0,100
1697999449257,-156,4308,-93,0,100
1697999449370,-156,4308,-93,0,100
1697999449479,-156,4308,-93,0,100
1697999449586,-156,4308,-93,0,100
1697999449700,-156,4308,-93,0,100
1697999449813,-156,4308,-93,0,100
1697999449927,-156,4308,-93,0,100
1697999450038,-156,4308,-93,0,100
1697999450146,-156,4308,-93,0,100
1697999450255,-156,4308,-93,0,100
1697999450366,-156,4308,-93,0,100
1697999450475,-156,4308,-93,0,100
1697999450581,-156,4308,-93,0,100
1697999450689,-156,4308,-93,0,100
1697999450798,-156,4308,-93,0,100
1697999450907,-156,4308,-93,0,100
1697999451017,-156,4308,-93,0,100
1697999451126,-156,4308,-93,0,100
1697999451234,-156,4308,-93,0,100
1697999451344,-156,4308,-93,0,100
1697999451455,-156,4308,-93,0,100
1697999451564,-156,4308,-93,0,100
1697999451672,-156,4308,-93,0,100
1697999451781,-156,4308,-93,0,100
1697999451889,-156,4308,-93,0,100
1697999452002,-156,4308,-93,0,100
1697999452117,-156,4308,-93,0,100
1697999452226,-156,4308,-93,0,100
1697999452334,-156,4308,-93,0,100
1697999452451,-156,4308,-93,0,100
1697999452562,-156,4308,-93,0,100
1697999452672,-156,4308,-93,0,100
1697999452780,-156,4308,-93,0,100
1697999452893,-156,4308,-93,0,100
1697999453003,-156,4308,-93,0,100
1697999453110,-156,4308,-93,0,100
1697999453220,-156,4308,-93,0,100
1697999453341,-156,4308,-93,0,100
1697999453447,-156,4308,-93,0,100
1697999453560,-156,4308,-93,0,100
1697999453668,-156,4308,-93,0,100
1697999453776,-156,4308,-93,0,100
1697999453887,-156,4308,-93,0,100
1697999453995,-156,4308,-93,0,100
1697999454104,-156,4308,-93,0,100
1697999454212,-156,4308,-93,0,100
1697999454322,-156,4308,-93,0,100
1697999454436,-156,4308,-93,0,100
1697999454542,-156,4308,-93,0,100
1697999454653,-156,4308,-93,0,100
1697999454762,-156,4308,-93,0,100
1697999454872,-156,4308,-93,0,100
1697999454979,-156,4308,-93,0,100
1697999455089,-156,4308,-93,0,100
1697999455196,-156,4308,-93,0,100
1697999455304,-156,4308,-93,0,100
1697999455420,-156,4308,-93,0,100
1697999455539,-156,4308,-93,0,100
