Timestamp,BATTERY_PROPERTY_CURRENT_NOW,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_AVERAGE,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CAPACITY
1697998789646,187,4308,177,0,100
1697998789762,187,4308,177,0,100
1697998789874,187,4308,177,0,100
1697998789984,187,4308,177,0,100
1697998790093,187,4308,177,0,100
1697998790202,187,4308,177,0,100
1697998790314,187,4308,177,0,100
1697998790424,187,4308,177,0,100
1697998790535,187,4308,177,0,100
1697998790644,187,4308,177,0,100
1697998790754,187,4308,177,0,100
1697998790864,187,4308,177,0,100
1697998790973,187,4308,177,0,100
1697998791082,187,4308,177,0,100
1697998791193,187,4308,177,0,100
1697998791303,187,4308,177,0,100
1697998791414,187,4308,177,0,100
1697998791524,187,4308,177,0,100
1697998791637,187,4308,177,0,100
1697998791745,187,4308,177,0,100
1697998791854,187,4308,177,0,100
1697998791965,187,4308,177,0,100
1697998792075,187,4308,177,0,100
1697998792184,187,4308,177,0,100
1697998792294,187,4308,177,0,100
1697998792402,187,4308,177,0,100
1697998792512,187,4308,177,0,100
1697998792624,187,4308,177,0,100
1697998792732,187,4308,177,0,100
1697998792840,187,4308,177,0,100
1697998792949,187,4308,177,0,100
1697998793064,187,4308,177,0,100
1697998793181,187,4308,177,0,100
1697998793294,187,4308,177,0,100
1697998793410,187,4308,177,0,100
1697998793527,187,4308,177,0,100
1697998793644,187,4308,177,0,100
1697998793762,187,4308,177,0,100
1697998793871,187,4308,177,0,100
1697998793979,187,4308,177,0,100
1697998794087,187,4308,177,0,100
1697998794194,187,4308,177,0,100
1697998794305,187,4308,177,0,100
1697998794414,187,4308,177,0,100
1697998794523,187,4308,177,0,100
1697998794636,187,4308,177,0,100
1697998794743,187,4308,177,0,100
1697998794850,187,4308,177,0,100
1697998794961,187,4308,177,0,100
1697998795076,187,4308,177,0,100
1697998795189,187,4308,177,0,100
1697998795296,187,4308,177,0,100
1697998795406,187,4308,177,0,100
1697998795514,187,4308,177,0,100
1697998795621,187,4308,177,0,100
1697998795728,187,4308,177,0,100
1697998795839,187,4308,177,0,100
1697998795948,187,4308,177,0,100
1697998796059,187,4308,177,0,100
1697998796165,187,4308,177,0,100
1697998796275,187,4308,177,0,100
1697998796385,187,4308,177,0,100
1697998796495,187,4308,177,0,100
1697998796603,187,4308,177,0,100
1697998796712,187,4308,177,0,100
1697998796831,187,4308,177,0,100
1697998796940,187,4308,177,0,100
1697998797053,-117,4308,-138,0,100
1697998797161,-117,4308,-138,0,100
1697998797269,-117,4308,-138,0,100
1697998797377,-117,4308,-138,0,100
1697998797483,-117,4308,-138,0,100
1697998797593,-117,4308,-138,0,100
1697998797704,-117,4308,-138,0,100
1697998797817,-117,4308,-138,0,100
1697998797925,-117,4308,-138,0,100
1697998798034,-117,4308,-138,0,100
1697998798144,-117,4308,-138,0,100
1697998798252,-117,4308,-138,0,100
1697998798359,-117,4308,-138,0,100
1697998798466,-117,4308,-138,0,100
1697998798575,-117,4308,-138,0,100
1697998798682,-117,4308,-138,0,100
