frame_start,frame_end,frame_time,is_delayed
596602402730646,596602418390467,15659821,False
596586804037274,596586934814862,130777588,True
596590407621153,596590418491514,10870361,False
596598248608102,596598260606431,11998329,False
596602386047390,596602412603505,26556115,True
596600801071218,596600810723506,9652288,False
596588038588735,596588059236862,20648127,True
596587371269938,596587385178593,13908655,False
596586587152305,596586738609363,151457058,True
596586987553674,596586997152670,9598996,False
596598231925264,596598248401316,16476052,True
596588522396909,596588535915054,13518145,False
596590807993331,596590819880167,11886836,False
596591942368544,596591972712974,30344430,True
596586954187276,596586978273401,24086125,True
596591842278954,596591859627436,17348482,True
596590574435323,596590586051014,11615691,False
596588505713336,596588521984900,16271564,True
596601785452963,596601855379967,69927004,True
596596113180825,596596128223894,15043069,False
596598815821992,596598823785316,7963324,False
596600767705029,596600780798276,13093247,False
596587955175175,596587970311169,15135994,False
596587321220613,596587349457478,28236865,True
596587971857082,596587992299708,20442626,True
596597914954932,596597930522624,15567692,False
596590390936575,596590405230668,14294093,False
596598181875726,596598200494124,18618398,True
596587337903771,596587357480401,19576630,True
596590374253296,596590392144629,17891333,True
596601134723940,596601149383737,14659797,False
596586753987545,596586779789940,25802395,True
596591992414703,596592017789705,25375002,True
596591925686757,596591962885974,37199217,True
596597648007582,596597658817470,10809888,False
596586920820602,596586937885286,17064684,True
596587938491772,596587961682246,23190474,True
596591775550625,596591835832321,60281696,True
596591792232150,596591851844013,59611863,True
596598265290896,596598277508777,12217881,False
596588555762299,596588565287823,9525524,False
596591909005356,596591935148474,26143118,True
596594695141525,596594707593665,12452140,False
596597798197499,596597886435855,88238356,True
596601017946074,596601031654275,13708201,False
596595078848299,596595093419510,14571211,False
596597931637464,596597941632047,9994583,False
596601118041420,596601132380045,14338625,False
596601768769481,596601781462044,12692563,False
596600784388324,596600795414391,11026067,False
596601868870580,596601878302813,9432233,False
596590557750995,596590568201091,10450096,False
596598482165981,596598495866200,13700219,False
596586970870409,596586983973055,13102646,False
596587004236967,596587013078632,8841665,False
596588539079552,596588550584669,11505117,False
596601752085696,596601768902967,16817271,True
