datetime,cpu,mem,,
Sun Oct 22 14:39:55 GMT 2023,21,180560,,99122.22517
Sun Oct 22 14:39:56 GMT 2023,21,207281,,
Sun Oct 22 14:39:57 GMT 2023,21,190730,,
Sun Oct 22 14:39:58 GMT 2023,21,190773,,
Sun Oct 22 14:39:58 GMT 2023,21,190786,,
Sun Oct 22 14:39:59 GMT 2023,21,190788,,
Sun Oct 22 14:40:00 GMT 2023,21,195901,,
Sun Oct 22 14:40:01 GMT 2023,21,150743,,
Sun Oct 22 14:40:02 GMT 2023,21,149334,,
Sun Oct 22 14:40:02 GMT 2023,21,150896,,
Sun Oct 22 14:40:03 GMT 2023,21,149233,,
Sun Oct 22 14:40:04 GMT 2023,21,147352,,
Sun Oct 22 14:40:04 GMT 2023,21,146664,,
Sun Oct 22 14:40:05 GMT 2023,21,146974,,
Sun Oct 22 14:40:06 GMT 2023,21,146331,,
Sun Oct 22 14:40:07 GMT 2023,21,146122,,
Sun Oct 22 14:40:07 GMT 2023,21,145167,,
Sun Oct 22 14:40:08 GMT 2023,21,145401,,
Sun Oct 22 14:40:09 GMT 2023,21,144899,,
Sun Oct 22 14:40:09 GMT 2023,21,144910,,
Sun Oct 22 14:40:10 GMT 2023,21,144903,,
Sun Oct 22 14:40:11 GMT 2023,21,145266,,
Sun Oct 22 14:40:11 GMT 2023,21,145079,,
Sun Oct 22 14:40:12 GMT 2023,21,145066,,
Sun Oct 22 14:40:13 GMT 2023,21,145073,,
Sun Oct 22 14:40:13 GMT 2023,21,141753,,
Sun Oct 22 14:40:14 GMT 2023,21,137758,,
Sun Oct 22 14:40:15 GMT 2023,21,136564,,
Sun Oct 22 14:40:15 GMT 2023,21,136094,,
Sun Oct 22 14:40:16 GMT 2023,21,136265,,
Sun Oct 22 14:40:17 GMT 2023,21,136286,,
Sun Oct 22 14:40:17 GMT 2023,21,136276,,
Sun Oct 22 14:40:18 GMT 2023,21,135072,,
Sun Oct 22 14:40:19 GMT 2023,21,135079,,
Sun Oct 22 14:40:19 GMT 2023,21,135137,,
Sun Oct 22 14:40:20 GMT 2023,21,135219,,
Sun Oct 22 14:40:21 GMT 2023,21,135238,,
Sun Oct 22 14:40:21 GMT 2023,21,135320,,
Sun Oct 22 14:40:22 GMT 2023,21,135353,,
Sun Oct 22 14:40:23 GMT 2023,21,131050,,
Sun Oct 22 14:40:24 GMT 2023,21,130644,,
Sun Oct 22 14:40:24 GMT 2023,21,112587,,
Sun Oct 22 14:40:25 GMT 2023,21,78004,,
Sun Oct 22 14:40:26 GMT 2023,21,73169,,
Sun Oct 22 14:40:26 GMT 2023,21,73181,,
Sun Oct 22 14:40:27 GMT 2023,21,73264,,
Sun Oct 22 14:40:28 GMT 2023,21,74719,,
Sun Oct 22 14:40:28 GMT 2023,21,74682,,
Sun Oct 22 14:40:29 GMT 2023,21,74705,,
Sun Oct 22 14:40:30 GMT 2023,21,74767,,
Sun Oct 22 14:40:30 GMT 2023,21,74786,,
Sun Oct 22 14:40:31 GMT 2023,21,74838,,
Sun Oct 22 14:40:32 GMT 2023,21,74898,,
Sun Oct 22 14:40:32 GMT 2023,21,74952,,
Sun Oct 22 14:40:33 GMT 2023,21,74920,,
Sun Oct 22 14:40:34 GMT 2023,21,75107,,
Sun Oct 22 14:40:34 GMT 2023,21,75057,,
Sun Oct 22 14:40:35 GMT 2023,21,76278,,
Sun Oct 22 14:40:36 GMT 2023,21,76307,,
Sun Oct 22 14:40:37 GMT 2023,21,76392,,
Sun Oct 22 14:40:37 GMT 2023,21,77637,,
Sun Oct 22 14:40:38 GMT 2023,21,77667,,
Sun Oct 22 14:40:39 GMT 2023,21,77696,,
Sun Oct 22 14:40:39 GMT 2023,21,77757,,
Sun Oct 22 14:40:40 GMT 2023,21,78029,,
Sun Oct 22 14:40:41 GMT 2023,21,77864,,
Sun Oct 22 14:40:41 GMT 2023,21,77851,,
Sun Oct 22 14:40:42 GMT 2023,21,77910,,
Sun Oct 22 14:40:43 GMT 2023,21,77964,,
Sun Oct 22 14:40:43 GMT 2023,21,77892,,
Sun Oct 22 14:40:44 GMT 2023,21,77946,,
Sun Oct 22 14:40:45 GMT 2023,21,78009,,
Sun Oct 22 14:40:45 GMT 2023,21,78075,,
Sun Oct 22 14:40:46 GMT 2023,21,78345,,
Sun Oct 22 14:40:47 GMT 2023,21,78202,,
Sun Oct 22 14:40:47 GMT 2023,21,78250,,
Sun Oct 22 14:40:48 GMT 2023,21,78272,,
Sun Oct 22 14:40:49 GMT 2023,21,78335,,
Sun Oct 22 14:40:49 GMT 2023,21,78382,,
Sun Oct 22 14:40:50 GMT 2023,21,78369,,
Sun Oct 22 14:40:51 GMT 2023,21,78415,,
Sun Oct 22 14:40:51 GMT 2023,21,78856,,
Sun Oct 22 14:40:52 GMT 2023,21,78798,,
Sun Oct 22 14:40:53 GMT 2023,21,78841,,
Sun Oct 22 14:40:53 GMT 2023,21,78928,,
Sun Oct 22 14:40:54 GMT 2023,21,78987,,
Sun Oct 22 14:40:55 GMT 2023,21,81786,,
Sun Oct 22 14:40:55 GMT 2023,21,81501,,
Sun Oct 22 14:40:56 GMT 2023,21,82018,,
Sun Oct 22 14:40:57 GMT 2023,21,81944,,
Sun Oct 22 14:40:57 GMT 2023,21,81973,,
Sun Oct 22 14:40:58 GMT 2023,21,81996,,
