datetime,cpu,mem,,
Sun Oct 22 16:20:43 GMT 2023,43,143458,,120455.9688
Sun Oct 22 16:20:44 GMT 2023,43,163470,,
Sun Oct 22 16:20:45 GMT 2023,43,167839,,
Sun Oct 22 16:20:46 GMT 2023,43,175410,,
Sun Oct 22 16:20:47 GMT 2023,43,182559,,
Sun Oct 22 16:20:47 GMT 2023,43,182752,,
Sun Oct 22 16:20:48 GMT 2023,43,182721,,
Sun Oct 22 16:20:48 GMT 2023,43,190225,,
Sun Oct 22 16:20:49 GMT 2023,43,191310,,
Sun Oct 22 16:20:50 GMT 2023,43,192739,,
Sun Oct 22 16:20:51 GMT 2023,43,201051,,
Sun Oct 22 16:20:52 GMT 2023,43,203228,,
Sun Oct 22 16:20:52 GMT 2023,43,197500,,
Sun Oct 22 16:20:53 GMT 2023,43,195813,,
Sun Oct 22 16:20:54 GMT 2023,43,189664,,
Sun Oct 22 16:20:55 GMT 2023,43,182321,,
Sun Oct 22 16:20:56 GMT 2023,43,182676,,
Sun Oct 22 16:20:57 GMT 2023,43,180530,,
Sun Oct 22 16:20:57 GMT 2023,43,181084,,
Sun Oct 22 16:20:58 GMT 2023,43,177683,,
Sun Oct 22 16:20:59 GMT 2023,43,175762,,
Sun Oct 22 16:20:59 GMT 2023,43,175868,,
Sun Oct 22 16:21:00 GMT 2023,43,182845,,
Sun Oct 22 16:21:01 GMT 2023,43,182265,,
Sun Oct 22 16:21:01 GMT 2023,43,173499,,
Sun Oct 22 16:21:02 GMT 2023,43,172404,,
Sun Oct 22 16:21:03 GMT 2023,43,173734,,
Sun Oct 22 16:21:04 GMT 2023,43,174370,,
Sun Oct 22 16:21:05 GMT 2023,43,176444,,
Sun Oct 22 16:21:06 GMT 2023,43,177264,,
Sun Oct 22 16:21:07 GMT 2023,43,175940,,
Sun Oct 22 16:21:07 GMT 2023,43,175592,,
Sun Oct 22 16:21:08 GMT 2023,43,159356,,
Sun Oct 22 16:21:10 GMT 2023,43,129380,,
Sun Oct 22 16:21:10 GMT 2023,43,116423,,
Sun Oct 22 16:21:11 GMT 2023,43,116358,,
Sun Oct 22 16:21:12 GMT 2023,43,98703,,
Sun Oct 22 16:21:13 GMT 2023,43,98723,,
Sun Oct 22 16:21:14 GMT 2023,43,98927,,
