avg_memory
153615.7813
125967.6473
86229.55804
120070.3571
134408.308
121800.1049
150703.9085
90811.51116
147046.058
152160.1104
99122.22517
133890.8322
152917.3933
148887.1373
152094.0658
149173.9007
158549.7635
172048.8421
155884.0197
147443.443
