device,subject,run,BATTERY_PROPERTY_CAPACITY,BATTERY_PROPERTY_CHARGE_COUNTER,BATTERY_PROPERTY_CURRENT_AVERAGE,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Energy trapz (J),Energy simple (J),Avg power (W)
j7duo2,org-mozilla-fenix,0,100.0,0.0,7.253275109170306,4260.0,4.410116448326055,0.26225859938999996,0.26205886436805675,0.0008722008951965066
j7duo2,org-mozilla-fenix,1,100.0,0.0,56.20830298616169,4260.0,37.004369992716676,0.27669285324000004,0.27434725703528046,0.0009128841806263657
j7duo2,org-mozilla-fenix,2,100.0,0.0,27.5561797752809,4260.0,43.11797752808989,0.1467752115,0.14671449623292135,0.0004883922471910112
j7duo2,org-mozilla-fenix,3,100.0,0.0,128.27292576419214,4260.0,134.4486899563319,0.23391820388999995,0.233649680519607,0.0007774794541484716
j7duo2,org-mozilla-fenix,4,100.0,0.0,36.285975164353545,4260.0,39.29401022644266,0.23717771946,0.2366162152468882,0.0007876783564645726
j7duo2,org-mozilla-fenix,5,100.0,0.0,89.9030965391621,4260.0,102.34863387978142,0.22863315842999998,0.22772435701543167,0.0007581511912568306
j7duo2,org-mozilla-fenix,6,100.0,0.0,120.83563636363637,4260.0,130.49854545454545,0.21294857115000004,0.2126721610345091,0.0007076169818181818
j7duo2,org-mozilla-fenix,7,100.0,0.0,71.23533697632058,4260.0,70.62659380692168,0.23246409762,0.23202925040078687,0.0007723341202185792
j7duo2,org-mozilla-fenix,8,100.0,0.0,62.024425811155666,4260.0,68.8279256288735,0.22617054189,0.22665832724106452,0.000754541822821728
j7duo2,org-mozilla-fenix,9,100.0,0.0,27.17608457892818,4260.0,21.908129784907036,0.26032546677,0.26061043615192125,0.0008672011957710535
