avg_memory
141833
187688.7
187165.2
190138.4
190479.9
161802
179329.7
180463.8
163662.9
184125.2
159138.5
181086.3
190926.3
161173.2
198410.2
186370.2
193200.5
178603.7
194443.9
194592.2
