datetime,cpu,mem,,
Tue Oct 17 16:02:18 GMT 2023,23,157995,,95787.46512
Tue Oct 17 16:02:19 GMT 2023,23,173688,,
Tue Oct 17 16:02:20 GMT 2023,23,184902,,
Tue Oct 17 16:02:20 GMT 2023,23,185200,,
Tue Oct 17 16:02:21 GMT 2023,23,189379,,
Tue Oct 17 16:02:22 GMT 2023,23,190963,,
Tue Oct 17 16:02:22 GMT 2023,23,190700,,
Tue Oct 17 16:02:23 GMT 2023,23,208114,,
Tue Oct 17 16:02:24 GMT 2023,23,212184,,
Tue Oct 17 16:02:25 GMT 2023,23,211180,,
Tue Oct 17 16:02:26 GMT 2023,23,211895,,
Tue Oct 17 16:02:27 GMT 2023,23,206384,,
Tue Oct 17 16:02:28 GMT 2023,23,203888,,
Tue Oct 17 16:02:28 GMT 2023,23,211829,,
Tue Oct 17 16:02:29 GMT 2023,23,202999,,
Tue Oct 17 16:02:31 GMT 2023,23,170891,,
Tue Oct 17 16:02:31 GMT 2023,23,161040,,
Tue Oct 17 16:02:33 GMT 2023,23,150693,,
Tue Oct 17 16:02:34 GMT 2023,23,149257,,
Tue Oct 17 16:02:34 GMT 2023,23,115989,,
Tue Oct 17 16:02:35 GMT 2023,23,113241,,
Tue Oct 17 16:02:36 GMT 2023,23,128389,,
Tue Oct 17 16:02:37 GMT 2023,23,124043,,
Tue Oct 17 16:02:37 GMT 2023,23,123944,,
Tue Oct 17 16:02:38 GMT 2023,23,125128,,
Tue Oct 17 16:02:39 GMT 2023,23,131376,,
Tue Oct 17 16:02:39 GMT 2023,23,135961,,
Tue Oct 17 16:02:40 GMT 2023,23,129904,,
Tue Oct 17 16:02:41 GMT 2023,23,128188,,
Tue Oct 17 16:02:41 GMT 2023,23,130657,,
Tue Oct 17 16:02:42 GMT 2023,23,130090,,
Tue Oct 17 16:02:43 GMT 2023,23,114728,,
Tue Oct 17 16:02:44 GMT 2023,23,109545,,
Tue Oct 17 16:02:45 GMT 2023,23,102947,,
Tue Oct 17 16:02:46 GMT 2023,23,93313,,
Tue Oct 17 16:02:47 GMT 2023,23,96025,,
Tue Oct 17 16:02:48 GMT 2023,23,96909,,
Tue Oct 17 16:02:49 GMT 2023,23,103946,,
Tue Oct 17 16:02:50 GMT 2023,23,104639,,
Tue Oct 17 16:02:51 GMT 2023,23,106511,,
Tue Oct 17 16:02:51 GMT 2023,23,90517,,
Tue Oct 17 16:02:52 GMT 2023,23,89224,,
Tue Oct 17 16:02:53 GMT 2023,23,81301,,
Tue Oct 17 16:02:54 GMT 2023,23,75648,,
Tue Oct 17 16:02:55 GMT 2023,23,61820,,
Tue Oct 17 16:02:56 GMT 2023,23,62387,,
Tue Oct 17 16:02:57 GMT 2023,23,63288,,
Tue Oct 17 16:02:58 GMT 2023,23,53826,,
Tue Oct 17 16:02:59 GMT 2023,23,67774,,
Tue Oct 17 16:03:00 GMT 2023,23,66505,,
Tue Oct 17 16:03:00 GMT 2023,23,65030,,
Tue Oct 17 16:03:01 GMT 2023,23,65030,,
Tue Oct 17 16:03:02 GMT 2023,23,66304,,
Tue Oct 17 16:03:03 GMT 2023,23,66493,,
Tue Oct 17 16:03:04 GMT 2023,23,66202,,
Tue Oct 17 16:03:04 GMT 2023,23,67135,,
Tue Oct 17 16:03:05 GMT 2023,23,66544,,
Tue Oct 17 16:03:06 GMT 2023,23,66243,,
Tue Oct 17 16:03:06 GMT 2023,23,66488,,
Tue Oct 17 16:03:07 GMT 2023,23,66540,,
Tue Oct 17 16:03:08 GMT 2023,23,66943,,
