avg_memory
87557.88641
155841
155924.1
156492.3
109508.7
166169.1
179211.2
138492.5
152596.9
152960.6
174106
124798.2
158572
154974.7682
131846.9
139347.5
135489.4
133613.9
145608.1
146574
